耀	yao,yue
老	lao
考	kao
耄	mao
者	zhe
耆	qi
耇	gou
耈	gou
耋	die
而	er
耍	shua
耏	er
耐	nai
耑	duan,zhuan
耒	lei
耔	zi
耕	geng
耖	chao
耗	hao
耘	yun
耙	pa,ba
耜	si
耢	lao
耤	ji
耦	ou
耧	lou
耨	nou
耩	jiang
耳	er
耵	ding
耶	ye
耷	da
耸	song
耻	chi
耽	dan
耿	geng
聂	nie
聃	dan
聆	ling
聊	liao
聋	long
职	zhi
聍	ning
聒	guo,gua
联	lian
聘	pin
聚	ju
聟	xu
聠	ping
聡	cong
聦	cong
聨	lian
聩	kui
聪	cong
聱	ao
聴	ting
聼	ting
聿	yu
肃	su
肄	yi
肆	si
肇	zhao
肈	zhao
肉	rou
肋	lei,le
肌	ji
肏	cao
肐	ge
肓	huang
肖	xiao
肘	zhou
肚	du
肛	gang
肜	rong
肝	gan
肟	wo
肠	chang
股	gu
肢	zhi
肤	fu
肥	fei
肧	pei
肩	jian
肪	fang
肫	zhun
肭	na
肮	ang
肯	ken
肱	gong
育	yo,yu
肴	yao
肶	pi
肸	xi
肹	xi
肺	fei
肼	jing
肽	tai
肾	shen
肿	zhong
胀	zhang
胁	xie
胂	shen
胃	wei
胄	zhou
胆	dan
背	bei
胍	gua
胎	tai
胔	zi
胖	pan,pang
胗	zhen
胙	zuo
胚	pei
胛	jia
胜	sheng
胝	zhi
胞	bao
胠	qu
胡	hu
胤	yin
胥	xu
胧	long
胨	dong
胪	lu
胫	jing
胬	nu
胭	yan
胯	kua
胰	yi
胱	guang
胲	hai,gai
胳	ga,ge
胴	dong
胶	jiao
胸	xiong
胺	an
胼	pian
能	neng
脁	tiao
脂	zhi
脆	cui
脇	xie
脉	mo,mai
脊	ji
脋	xie
脍	kuai
脎	sa
脏	zang
脐	qi
脑	nao
脒	mi
脓	nong
脔	luan
脖	bo
脗	wen
脘	wan
脚	jia,jue,jiao
脞	cuo
脢	mei
脤	shen
脬	pao
脭	cheng
脯	pu,fu
脰	dou
脱	tuo
脲	niao
脳	nao
脷	li
脸	lian
脽	shui
脾	pi
脿	biao
腆	tian
腈	jing
腊	xi,la
腋	yi,ye
腌	a,yan
腍	ren
腐	fu
腑	fu
腓	fei
腔	qiang
腕	wan
腘	guo
腙	zong
腚	ding
腠	cou
腥	xing
腧	shu
腩	nan
腭	e
腮	sai
腯	tu
腰	yao
腱	jian
腴	yu
腹	fu
腺	xian
腻	ni
腼	mian
腽	wa
腾	teng
腿	tui
膀	bang,pang
膂	lu:
膈	ge
膊	bo
膏	gao
膑	bin
膘	biao
膛	tang
膜	mo
膝	xi
膣	zhi
膥	chun
膦	lin
膨	peng
膰	fan
膳	shan
膶	run
膺	ying
膻	shan
臀	tun
臂	bei,bi
臃	yong
臆	yi
臈	xi,la
臊	sao
臌	gu
臑	ru,nao
臓	zang
臖	xing
臙	yan
臝	luo
臞	qu
臣	chen
臧	zang
自	zi
臬	nie
臭	chou,xiu
臮	ji
臯	gao
至	zhi
致	zhi
臵	ge
臶	jian
臻	zhen
臼	jiu
臾	yu
臿	cha
舀	yao
舁	yu
舂	chong
舄	xi
舅	jiu
舆	yu
舌	she
舍	she
舎	she
舐	shi
舒	shu
舔	tian
舖	pu
舗	pu
舛	chuan
舜	shun
舞	wu
舟	zhou
舠	dao
舡	chuan
舢	shan
舣	yi
舥	pa
舨	ban
舩	chuan
航	hang
舫	fang
般	pan,bo,ban
舯	zhong
舰	jian
舱	cang
舲	ling
舳	zhu
舴	ze
舵	duo,tuo
舶	bo
舷	xian
舸	ge
船	chuan
舺	xia,jia
舻	lu
舾	xi
艄	shao
艅	yu
艇	ting
艉	wei
艋	meng
艎	huang
艏	shou
艗	yi
艘	sao,sou
艚	cao
艛	lou
艟	tong,chong
艨	meng
艪	lu
艮	gen
良	liang
艰	jian
色	se,shai
艳	yan
艶	yan
艸	cao
艹	cao
艺	yi
艻	le
艼	ting
艽	jiao
艾	yi,ai
艿	nai
节	jie
芃	peng
芄	wan
芈	mi
芉	gan
芊	qian
芋	yu
芍	shao
芎	xiong
芐	xia
芑	qi
芒	wang,mang
芗	xiang
芘	bi,pi
